i,Ht,chi
5,6.0,0.515944331884384
6,6.0,0.3584755398333072
7,6.0,0.3914519548416137
8,6.0,0.43936164304614056
9,6.0,0.4002738445997237
10,2.0,0.4577665645629167
11,2.0,0.4192346334457397
12,2.0,0.298956099897623
13,2.0,0.28261087834835047
14,2.0,0.4398553222417831
15,2.0,0.41825648397207255
16,2.0,0.3605726826936006
17,2.0,0.31854644045233727
18,2.0,0.36030479148030276
19,2.0,0.3078433237969875
20,6.0,0.45150161348283285
21,6.0,0.4584704358130693
22,6.0,0.3962236270308494
23,6.0,0.42069936171174044
24,6.0,0.41394764557480807
25,6.0,0.5227185573894529
26,6.0,0.415481062605977
27,6.0,0.37210175767540926
28,6.0,0.3226857907138765
29,6.0,0.2739472356624901
0,6.0,0.6633485630154609
1,6.0,0.5387491583824158
2,6.0,0.3256256729364394
3,6.0,0.5958420000970363
4,6.0,0.36112412810325617
5,6.0,0.3277890435419976
6,6.0,0.48749698791652907
7,6.0,0.3373393546789884
8,6.0,0.44013267190894106
9,6.0,0.3236497659236192
10,2.0,0.55820569768548
11,2.0,-0.046642549335956573
12,2.0,-0.06639720033854246
13,2.0,0.5374823790043592
14,2.0,0.4259454961866139
15,2.0,0.48787210229784245
16,2.0,0.0012191571295261305
17,2.0,0.5040686819702386
18,2.0,0.058788533322513076
19,2.0,-0.05082247592508793
20,6.0,0.32376241311430926
21,6.0,0.4231105905491858
22,6.0,0.3745136689394712
23,6.0,0.38732968806289125
24,6.0,0.3917593456571921
25,6.0,0.30043550021946425
26,6.0,0.19193959608674047
27,6.0,0.4684655796736478
28,6.0,0.3795401974348351
29,6.0,0.3613710014615208
0,6.0,0.47628550231456745
1,6.0,0.41312658973038185
2,6.0,0.36343614757060994
3,6.0,0.5701621687039732
4,6.0,0.4052535165101289
5,6.0,0.30194222740828985
6,6.0,0.29491371847689146
7,6.0,0.2914039455354213
8,6.0,0.523876073420979
9,6.0,0.36207395978271956
10,2.0,0.5814666458172723
11,2.0,0.37633392214775074
12,2.0,0.17793538235127923
13,2.0,0.38069383241236204
14,2.0,0.2580987478140741
15,2.0,0.30285174772143364
16,2.0,0.11890778690576552
17,2.0,0.16109362989664078
18,2.0,0.22341082803905007
19,2.0,0.18996780738234517
20,6.0,0.49276323430240143
21,6.0,0.3827632404863834
22,6.0,0.33418074622750277
23,6.0,0.29014799743890757
24,6.0,0.2716126665472984
25,6.0,0.2894971556961536
26,6.0,0.26547069847583765
27,6.0,0.43038457445800293
28,6.0,0.30250180978327984
29,6.0,0.28165448084473604
0,6.0,0.5513467863202094
1,6.0,0.4283139812760054
2,6.0,0.46073694899678225
3,6.0,0.3319480158388614
4,6.0,0.2709290608763694
5,6.0,0.4557641353458165
6,6.0,0.40623607859015454
7,6.0,0.2627375796437263
8,6.0,0.22129113972187037
9,6.0,0.24244908988475797
10,2.0,0.3823708146810531
11,2.0,0.14849344454705712
12,2.0,0.15031584352254862
13,2.0,0.49657938256859774
14,2.0,0.19423819053918118
15,2.0,0.12377445492893456
16,2.0,0.3318154215812682
17,2.0,0.24763929098844523
18,2.0,0.23551807552576062
19,2.0,0.20538243651390073
20,6.0,0.5765130673535167
21,6.0,0.450038069859147
22,6.0,0.41128220222890366
23,6.0,0.3882831651717424
24,6.0,0.4156277514994144
25,6.0,0.43413843587040896
26,6.0,0.36772832507267583
27,6.0,0.4554158668033778
28,6.0,0.3445709571242332
29,6.0,0.45296835619956244
0,6.0,0.5581135172396897
1,6.0,0.5554920835420488
2,6.0,0.31955260504037136
3,6.0,0.5152740897610782
4,6.0,0.3605045042932033
5,6.0,0.3839411940425633
6,6.0,0.49556685844436277
7,6.0,0.5266750706359743
8,6.0,0.4626076072454452
9,6.0,0.29176590312272305
10,2.0,0.38711816631257523
11,2.0,0.29281587898731226
12,2.0,0.23080579750239846
13,2.0,0.22138215601444242
14,2.0,0.41916297096759075
15,2.0,0.27340846625156695
16,2.0,0.1961349584162235
17,2.0,0.15534656122326848
18,2.0,0.30318753747269506
19,2.0,0.15035578235983846
20,6.0,0.6516341473907231
21,6.0,0.43457919918000687
22,6.0,0.5360847003757953
23,6.0,0.39712396077811707
24,6.0,0.37416772916913027
25,6.0,0.35417133569717396
26,6.0,0.4876483031548559
27,6.0,0.3065450228750705
28,6.0,0.24473939463496205
29,6.0,0.5619765729643403
0,6.0,0.5464003533124923
1,6.0,0.44432232156395907
2,6.0,0.5535613663960247
3,6.0,0.457256706431508
4,6.0,0.4611633978784083
5,6.0,0.562729151919484
6,6.0,0.44885489717125887
7,6.0,0.3821067810058593
8,6.0,0.3516287878155707
9,6.0,0.3686973191797732
