Ht,chi,gamma,direction
0.6,0.0010136216878890993,1e-07,up
0.8,0.005268946290016173,1e-07,up
1.0,-0.007337927818298338,1e-07,up
1.2,0.0020736306905746456,1e-07,up
1.4,-0.00458085536956787,1e-07,up
1.6,-0.016996592283248898,1e-07,up
1.8,-0.004803478717803953,1e-07,up
2.0,0.005782723426818847,1e-07,up
2.2,-0.004839748144149779,1e-07,up
2.4,-0.0020743459463119502,1e-07,up
2.6,-0.01869586110115051,1e-07,up
2.8,0.3053803294897079,1e-07,up
3.0,0.288616344332695,1e-07,up
3.2,0.019121333956718445,1e-07,up
3.4,0.35747973620891565,1e-07,up
3.6,-0.026647388935089104,1e-07,up
3.8,-0.010437846183776854,1e-07,up
4.0,0.008096545934677122,1e-07,up
4.2,0.0017156004905700688,1e-07,up
4.4,-0.019300699234008786,1e-07,up
4.6,0.03416372835636138,1e-07,up
4.8,0.04146629571914672,1e-07,up
5.0,0.8107307516038416,1e-07,up
5.2,0.49362175166606903,1e-07,up
5.4,0.5126741658896208,1e-07,up
5.6,0.005451500415802003,1e-07,up
5.8,0.21644924394786355,1e-07,up
6.0,0.04276574775576591,1e-07,up
6.2,0.3103283513337373,1e-07,up
6.4,0.36420965287834406,1e-07,up
6.6,0.20909418386872855,1e-07,up
6.8,0.5145114138722419,1e-07,up
7.0,0.17509531229734418,1e-07,up
7.2,0.6114928666502236,1e-07,up
7.4,0.28859856911003584,1e-07,up
7.6,0.6074706349172628,1e-07,up
7.8,0.6039928775280713,1e-07,up
8.0,0.4699261495843529,1e-07,up
8.0,0.17355289030820129,1e-07,down
7.8,0.5155142173171042,1e-07,down
7.6,0.22046092897653577,1e-07,down
7.4,0.17503576725721356,1e-07,down
7.2,0.15487802028656003,1e-07,down
7.0,0.141758993268013,1e-07,down
6.8,0.3147528991103172,1e-07,down
6.6,0.12667624372988937,1e-07,down
6.4,0.11044463311554863,1e-07,down
6.2,0.3618473187088966,1e-07,down
6.0,0.280163831077516,1e-07,down
5.8,0.1026382204145193,1e-07,down
5.6,0.06804919615387915,1e-07,down
5.4,0.14847676828503606,1e-07,down
5.2,0.07282298803329466,1e-07,down
5.0,0.06385132670402527,1e-07,down
4.8,0.09111078456044194,1e-07,down
4.6,0.0726998709142208,1e-07,down
4.4,0.09330967068672177,1e-07,down
4.2,0.0898487567901611,1e-07,down
4.0,0.012455008924007412,1e-07,down
3.8,0.042431659996509545,1e-07,down
3.6,0.010518915951251982,1e-07,down
3.4,0.029567949473857873,1e-07,down
3.2,0.05597288161516189,1e-07,down
3.0,0.011691972613334652,1e-07,down
2.8,0.029291808605194085,1e-07,down
2.6,0.28758808458223933,1e-07,down
2.4,-0.03876834188122301,1e-07,down
2.2,-0.018512070877477523,1e-07,down
2.0,0.000655055046081543,1e-07,down
1.8,0.021423469879664474,1e-07,down
1.6,0.009508098097285256,1e-07,down
1.4,0.26535115321166813,1e-07,down
1.2,0.2029059589840471,1e-07,down
1.0,-0.17495239642448723,1e-07,down
0.8,-0.0751735903322697,1e-07,down
0.6,0.5230088876560329,1e-07,down
0.4,-0.16851442091865462,1e-07,down
0.2,0.5004401048645376,1e-07,down
-0.0,0.5099218079994897,1e-07,down
-0.0,0.5099218079994897,1e-07,up
0.2,0.8491814890876411,1e-07,up
0.4,0.2030948400497436,1e-07,up
